id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
10964,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.288125,15,1.64678E+12,98,FALSE,4,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.285181501,0.285181501,0.002943499,0.285181501,TRUE,0.002943499,0.333900658
10965,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.503125,16,1.64678E+12,109,TRUE,5,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.625058708,0.625058708,-0.121933708,0.374941292,FALSE,0.121933708,0.618553584
10966,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.348125,14,1.64678E+12,72,FALSE,6,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.293249191,0.293249191,0.054875809,0.293249191,TRUE,0.054875809,0.302398008
10967,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.388125,14,1.64678E+12,74,FALSE,7,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.293249191,0.293249191,0.094875809,0.293249191,TRUE,0.094875809,0.340223637
10968,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.433125,16,1.64678E+12,110,FALSE,8,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.374941292,0.374941292,0.058183708,0.374941292,TRUE,0.058183708,0.419528597
10969,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64678E+12,line,768,1366,0.4840625,8,1.64678E+12,85,TRUE,1,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.505319521,0.505319521,-0.021257021,0.494680479,FALSE,0.021257021,0.497345749
10970,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.418125,1,1.64678E+12,0,FALSE,9,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.512700546,0.512700546,-0.094575546,0.512700546,FALSE,-0.094575546,0.50572519
10971,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.378125,11,1.64678E+12,123,TRUE,10,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.433918025,0.433918025,-0.055793025,0.566081975,FALSE,0.055793025,0.39063938
10972,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.568125,3,1.64678E+12,27,TRUE,11,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.59847931,0.59847931,-0.03035431,0.40152069,FALSE,0.03035431,0.552463204
10973,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64678E+12,line,768,1366,0.5540625,2,1.64678E+12,14,FALSE,2,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.428706218,0.428706218,0.125356282,0.428706218,TRUE,0.125356282,0.485805773
