id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
18588,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5040625,13,1.6473E+12,66,FALSE,28,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.433926927,0.433926927,0.070135573,0.433926927,TRUE,0.070135573,0.495193096
18589,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.7040625,15,1.64731E+12,103,TRUE,29,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.714818499,0.714818499,-0.010755999,0.285181501,FALSE,0.010755999,0.666099342
18590,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4740625,11,1.64731E+12,125,TRUE,30,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.433918025,0.433918025,0.040144475,0.566081975,TRUE,-0.040144475,0.432483521
18591,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4790625,8,1.64731E+12,88,FALSE,31,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.494680479,0.494680479,-0.015617979,0.494680479,FALSE,-0.015617979,0.502654251
18592,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5790625,13,1.64731E+12,67,TRUE,32,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.566073073,0.566073073,0.012989427,0.433926927,TRUE,-0.012989427,0.504806904
18593,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5090625,11,1.64731E+12,127,TRUE,33,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.433918025,0.433918025,0.075144475,0.566081975,TRUE,-0.075144475,0.39063938
18594,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4040625,16,1.64731E+12,112,FALSE,34,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.374941292,0.374941292,0.029121208,0.374941292,TRUE,0.029121208,0.381446416
18595,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5490625,18,1.64731E+12,54,FALSE,35,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.564244998,0.564244998,-0.015182498,0.564244998,FALSE,-0.015182498,0.618014636
18596,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5240625,11,1.64731E+12,124,FALSE,36,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.566081975,0.566081975,-0.042019475,0.566081975,FALSE,-0.042019475,0.567516479
18597,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.3740625,19,1.64731E+12,136,FALSE,37,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.256604718,0.256604718,0.117457782,0.256604718,TRUE,0.117457782,0.257919326
18598,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5040625,18,1.64731E+12,55,TRUE,38,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.435755002,0.435755002,0.068307498,0.564244998,TRUE,-0.068307498,0.381985364
18599,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.3690625,15,1.64731E+12,102,FALSE,39,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.285181501,0.285181501,0.083880999,0.285181501,TRUE,0.083880999,0.333900658
18600,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4990625,2,1.64731E+12,18,FALSE,40,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.428706218,0.428706218,0.070356282,0.428706218,TRUE,0.070356282,0.485805773
18601,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.6340625,14,1.64731E+12,79,TRUE,41,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.706750809,0.706750809,-0.072688309,0.293249191,FALSE,0.072688309,0.659776363
18602,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.6590625,8,1.64731E+12,90,FALSE,42,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.494680479,0.494680479,0.164382021,0.494680479,TRUE,0.164382021,0.545737214
18603,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.3990625,16,1.64731E+12,114,FALSE,43,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.374941292,0.374941292,0.024121208,0.374941292,TRUE,0.024121208,0.419528597
