"","participantId","task","id","rsp_time","status","data.select.x","data.select.y","pixel.select.x","pixel.select.y","param.mu","param.sigma","param.lambda","param.p","param.q","pixelToMM","dist_to_screen","data.ans.y","data.ans.x","va.resp.x","va.resp.y","va.ans.x","va.ans.y"
"1","67f03733938aa3f0d17ce8a8","task3","1",8.633,"completed",0.43,0.500188489986617,340.505,212.425546455286,0.15,0.51,0.38,3.17,13.54,4.6,668.258963114506,0.5,0.429719845409834,5.41066576668031,3.68130124969461,5.41038702431025,3.67991494954878
"2","67f03733938aa3f0d17ce8a8","task3","2",17.708,"completed",1.45,0.500799070248873,395.075,212.184367251695,1.96,0.53,-0.64,4.67,3.43,4.6,668.258963114506,0.5,1.44871300770944,6.42507295475195,3.68579191854299,6.42379362067101,3.67991494954878
"3","67f03733938aa3f0d17ce8a8","task3","3",11.207,"completed",-0.2,0.512043165736322,306.8,207.742949534153,-0.42,1.44,0.08,3.81,2.61,4.6,668.258963114506,0.5,-0.25091218745561,4.78368577862855,3.76848745851121,4.73300462621271,3.67991494954878
"4","67f03733938aa3f0d17ce8a8","task3","4",11.814,"completed",1.55,0.492127362550442,400.425,215.609691792575,1.86,0.51,-0.41,3.53,3.42,4.6,668.258963114506,0.5,1.56156544093039,6.52447298074166,3.62201256911233,6.53596840078697,3.67991494954878
"5","67f03733938aa3f0d17ce8a8","task3","5",10.115,"completed",0.38,0.514170010289377,337.83,206.902845935696,0.62,0.58,-0.29,4.61,28.53,4.6,668.258963114506,0.5,0.353993526445874,5.36091679799708,3.78412905663713,5.33504009253205,3.67991494954878
"6","67f03733938aa3f0d17ce8a8","task3","6",7.828,"completed",0.14,0.49663733919613,324.99,213.828251017528,0.75,1.64,-0.24,3.55,26.35,4.6,668.258963114506,0.5,0.15665554779307,5.12209392513859,3.65518317834747,5.13866924432468,3.67991494954878
"7","67f03733938aa3f0d17ce8a8","task3","7",7.287,"completed",-0.84,0.494513019357777,272.56,214.667357353678,-1.57,1.13,0.43,4.23,14.36,4.6,668.258963114506,0.5,-0.820817293860162,4.14646035832992,3.63955900863718,4.1655638291506,3.67991494954878
"8","67f03733938aa3f0d17ce8a8","task3","8",6.662,"completed",0.49,0.518491634587828,343.715,205.195804337808,1.93,1.44,-0.72,3.72,23.87,4.6,668.258963114506,0.5,0.410403120735292,5.47036183330597,3.81591143817807,5.39116751820518,3.67991494954878
"9","67f03733938aa3f0d17ce8a8","task3","9",10.751,"completed",1.84,0.520740804951866,415.94,204.307382044013,1.92,0.62,-0.14,2.31,16.25,4.6,668.258963114506,0.5,1.80619628535108,6.81267694797746,3.83245220685104,6.77908695950137,3.67991494954878
"10","67f03733938aa3f0d17ce8a8","task3","10",12.362,"completed",-1.34,0.509716553802553,245.81,208.661961247991,-1.98,0.91,0.55,2.13,24.68,4.6,668.258963114506,0.5,-1.36330919657505,3.6484474247356,3.75137653662531,3.62522735223782,3.67991494954878
"11","5c8f2ac8d7ecab0018d529aa","task3","1",10.854,"completed",-0.66,0.493029333874416,282.19,215.253413119606,-0.27,1.28,-0.19,3.39,25.22,3.83529411764706,663.935154559709,0.5,-0.633307861255658,5.22084935871504,4.3798233589111,5.25291412613918,4.44168565938908
"12","5c8f2ac8d7ecab0018d529aa","task3","2",8.847,"completed",0.74,0.474572265948664,357.09,222.543954950278,0.42,1.34,0.21,3.46,28.16,3.83529411764706,663.935154559709,0.5,0.842354460890458,6.90141958357695,4.21601089340553,7.02417888344089,4.44168565938908
"13","5c8f2ac8d7ecab0018d529aa","task3","3",14.757,"completed",-2.11,0.486043096069002,204.615,218.012977052744,-1.8,0.53,-0.34,4.85,24.42,3.83529411764706,663.935154559709,0.5,-2.08646030403176,3.47789559244155,4.31782030226418,3.50620622342799,4.44168565938908
"14","5c8f2ac8d7ecab0018d529aa","task3","4",11.386,"completed",0.28,0.473579061320987,332.48,222.93627077821,-0.16,0.57,0.59,3.31,20.78,3.83529411764706,663.935154559709,0.5,0.324118220934591,6.34952462132,4.20719538532047,6.40246960511631,4.44168565938908
"15","5c8f2ac8d7ecab0018d529aa","task3","5",7.304,"completed",-0.05,0.485101311473992,314.825,218.384981967773,0.76,1.64,-0.28,4.85,29.28,3.83529411764706,663.935154559709,0.5,0.0279419535490086,5.9534167615631,4.30946174326628,6.04698577933942,4.44168565938908
"16","5c8f2ac8d7ecab0018d529aa","task3","6",11.833,"completed",-0.38,0.484917102202317,297.17,218.457744630085,-0.36,1.28,0.02,3.82,18.58,3.83529411764706,663.935154559709,0.5,-0.320652364861458,5.55716645150939,4.30782683744146,5.62843871482911,4.44168565938908
"17","5c8f2ac8d7ecab0018d529aa","task3","7",6.818,"completed",-0.97,0.486768116371009,265.605,217.726594033451,-0.91,1.01,-0.02,2.2,13.12,3.83529411764706,663.935154559709,0.5,-0.935820414257259,4.84839351779209,4.32425499604998,4.88946445143869,4.44168565938908
"18","5c8f2ac8d7ecab0018d529aa","task3","8",10.819,"completed",1.18,0.479007934907199,380.63,220.791865711657,1.81,0.92,-0.41,3.75,42.19,3.83529411764706,663.935154559709,0.5,1.23888139845444,7.42901968042356,4.2553804933846,7.49960041225319,4.44168565938908
"19","5c8f2ac8d7ecab0018d529aa","task3","9",7.753,"completed",-0.2,0.496974841433784,306.8,213.694937633655,0.26,0.94,-0.31,4.1,26.64,3.83529411764706,663.935154559709,0.5,-0.191180314393024,5.77332007860962,4.41483871793503,5.78391018469107,4.44168565938908
