participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.select.slope,data.ans.slope,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,data.ans.x,data.ans.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y
67f03733938aa3f0d17ce8a8,task4,1,6.34,completed,1.01,0.6345468701606621,371.535,159.35398628653846,-0.05,0.94,0.5,3.79,3.59,0.34388337392189255,0.36788530765626126,4.6,668.2589631145061,69.89891304347827,54.48826385075251,5.98759983903526,4.669177350188353,-0.05,0.25,314.825,311.25,57.57065217391305,21.467391304347828,4.932994132113234,1.840431968064979
67f03733938aa3f0d17ce8a8,task4,2,5.652,completed,-0.36,0.7040486620134935,298.24,131.9007785046701,-1.23,1.12,0.11,3.23,19.54,0.28331462806300767,0.30231547364993294,4.6,668.2589631145061,53.96521739130436,60.45635249898477,4.624405631964645,5.1799293367044825,-1.23,0.445,251.695,234.225,43.846739130434784,38.21195652173913,3.758022756955383,3.2753583491517184
67f03733938aa3f0d17ce8a8,task4,3,4.847,completed,1.72,0.5161563664292244,409.5199999999999,206.1182352604564,1.38,0.76,0.31,2.3,21.45,0.4906934500706218,0.5089887294052569,4.6,668.2589631145061,78.15652173913043,44.322122769466006,6.693430390134521,3.7987373238521567,1.38,0.345,391.33,273.725,74.20217391304348,29.624999999999996,6.355487168166502,2.5395986513298925
67f03733938aa3f0d17ce8a8,task4,4,5.566,completed,-0.55,0.6358857887755134,288.075,158.8251134336722,-0.61,0.62,-0.21,4.44,9.3,0.5147595173864004,0.514763963574251,4.6,668.2589631145061,51.755434782608695,54.603236210071266,4.435237283380307,4.679018560690971,-0.61,0.605,284.865,171.025,51.05760869565218,51.95108695652174,4.375494836166321,4.451987070653794
67f03733938aa3f0d17ce8a8,task4,5,4.291,completed,0.41,0.582028809966637,339.435,180.0986200631784,0.67,1.25,-0.33,2.12,43.26,0.3170447668254796,0.3201016908809303,4.6,668.2589631145061,62.92065217391305,49.978560855830786,5.390766423087107,4.283110471187013,0.67,0.665,353.345,147.325,65.94456521739131,57.103260869565226,5.649432076944316,4.892994139690675
67f03733938aa3f0d17ce8a8,task4,6,4.812,completed,0.51,0.5511242478831574,344.785,192.30592208615283,-0.82,1.09,0.78,3.25,7.97,0.3113852881273883,0.3380791652411902,4.6,668.2589631145061,64.08369565217393,47.32479954648852,5.490259863490152,4.05588110513175,-0.82,0.11000000000000001,273.63,366.55,48.61521739130435,9.445652173913041,4.166377741992118,0.8098462182793834
67f03733938aa3f0d17ce8a8,task4,7,3.932,completed,0.76,0.6115017859701846,358.16,168.4567945417771,-1.18,1.37,0.68,4.89,42.75,0.22648268489940926,0.23402277432260146,4.6,668.2589631145061,66.9913043478261,52.509392490918025,5.738956899382217,4.4997825718656905,-1.18,0.15999999999999995,254.37,346.8,44.42826086956522,13.739130434782608,3.807827465603621,1.177936256148423
67f03733938aa3f0d17ce8a8,task4,8,5.693,completed,2.55,0.6395847130680445,453.925,157.3640383381224,1.61,0.83,0.44,4.58,24.51,0.3735817886451484,0.3845083484130396,4.6,668.2589631145061,87.80978260869566,54.92086123084296,7.51790829530237,4.706205733263054,1.61,0.28,403.635,299.4,76.87717391304348,24.043478260869573,6.584108288323035,2.0612387196120534
67f03733938aa3f0d17ce8a8,task4,9,3.91,completed,1.44,0.6580558535932403,394.54,150.0679378306701,1.51,1.09,-0.36,3.26,28.4,0.3134854399214845,0.31348853154588746,4.6,668.2589631145061,74.9,56.506970036810856,6.415132417310154,4.841961017042805,1.51,0.6799999999999999,398.28499999999997,141.40000000000003,75.7141304347826,58.391304347826086,6.484714141424032,5.003223760934121
67f03733938aa3f0d17ce8a8,task4,10,4.011,completed,1.07,0.6700812939681653,374.745,145.3178888825747,1.47,1.47,-0.52,3.96,23.65,0.22477017225223295,0.22480348072826795,4.6,668.2589631145061,70.59673913043478,57.53958937335332,6.047265836888168,4.930335772008731,1.47,0.76,396.145,109.80000000000001,75.24891304347827,65.26086956521739,6.4449537390884375,5.5909536672312266
5c8f2ac8d7ecab0018d529aa,task4,1,5.71,completed,0.09,0.9682090381640874,322.315,27.557429925185467,-0.65,0.95,-0.48,3.73,19.27,0.17518022555176185,0.3519271315748329,3.835294117647059,663.9351545597088,71.00237730061349,99.71662103177678,6.121480462324229,8.589149063791226,-0.65,0.74,282.725,117.69999999999999,60.679831288343564,76.21319018404908,5.2328622679333625,6.569781183547329
5c8f2ac8d7ecab0018d529aa,task4,2,4.234,completed,1.59,0.957026785460712,402.56500000000005,31.97441974301877,0.53,1.16,-0.37,3.63,3.72,0.14150975392572443,0.2973945265817548,3.835294117647059,663.9351545597088,91.92645705521474,98.5649519074951,7.92036378099463,8.49031412838197,0.53,0.685,345.855,139.42499999999995,77.14010736196319,70.54869631901842,6.6495057539623605,6.082439950542456
5c8f2ac8d7ecab0018d529aa,task4,3,10.377,completed,1.92,0.9713572535273204,420.22,26.313884856708448,1.48,0.72,-0.57,2.55,18.86,0.20894712505290777,0.5345118104573704,3.835294117647059,663.9351545597088,96.529754601227,100.04085824288276,8.31562495288866,8.616972429654949,1.48,0.7849999999999999,396.68,99.92500000000001,90.3920245398773,80.84777607361963,7.788567630273071,6.9683388327620985
5c8f2ac8d7ecab0018d529aa,task4,4,36.361,completed,-2.44,0.06503431381526587,186.96,384.31144604297,-0.17,1.54,0.02,3.09,41.41,0.10256002665198274,0.22122690226382255,3.835294117647059,663.9351545597088,35.71042944785276,6.697935847691877,3.0809693274335626,0.5780085573431991,-0.17,0.49,308.405,216.45000000000002,67.37553680981594,50.465490797546,5.8093417274159735,4.352938248667977
5c8f2ac8d7ecab0018d529aa,task4,5,5.934,completed,-2.38,0.05182854814642185,190.17,389.52772348216337,-0.77,1.36,0.21,4.6,37.58,0.13875046595981283,0.23176809605965734,3.835294117647059,663.9351545597088,36.547392638036804,5.337863509251883,3.153143519194709,0.46064047254869106,-0.77,0.395,276.305,253.975,59.00590490797546,40.68136503067485,5.088699836065473,3.5095922624509552
5c8f2ac8d7ecab0018d529aa,task4,6,5.984,completed,2.61,0.9662765486798768,457.13499999999993,28.320763271448715,0.57,0.85,0.36,4.85,10.89,0.12140370196956508,0.3718869691440152,3.835294117647059,663.9351545597088,106.15483128834353,99.51759239854864,9.141429068534116,8.572069563621774,0.57,0.32000000000000006,347.995,283.59999999999997,77.6980828220859,32.95705521472394,6.6974943763156976,2.843519527531722
5c8f2ac8d7ecab0018d529aa,task4,7,5.935,completed,1.15,0.8817321176254821,379.025,61.71581353793457,-1.52,1.16,0.63,3.75,24.44,0.16257834714458286,0.2918979810328343,3.835294117647059,663.9351545597088,85.78872699386503,90.8102940161827,7.393056710359698,7.824495876444286,-1.52,0.185,236.18,336.925,48.543865030674844,19.053297546012267,4.187337421187209,1.6441343954724963
5c8f2ac8d7ecab0018d529aa,task4,8,7.924,completed,0.05,0.9252815937237509,320.175,44.513770479118456,-1.61,0.93,0.18,4.39,35.47,0.19469729062285912,0.3411684391549259,3.835294117647059,663.9351545597088,70.4444018404908,95.29548929225439,6.073464920118355,8.209664078181639,-1.61,0.41000000000000003,231.365,248.04999999999998,47.288420245398775,42.22622699386503,4.079136884406529,3.6427797881830566
5c8f2ac8d7ecab0018d529aa,task4,9,5.728,completed,-2.03,0.01898448499940325,208.89500000000004,402.5011284252357,-0.97,0.63,0.08,4.61,18.99,0.1411028245206076,0.4998001904902142,3.835294117647059,663.9351545597088,41.429677914110435,1.955227251088846,3.574107933137239,0.1687306173577286,-0.97,0.45999999999999996,265.605,228.3,56.216027607361966,47.37576687116564,4.848393517792089,4.086665093051792
5c8f2ac8d7ecab0018d529aa,task4,10,3.396,completed,0.32,0.06269538894578819,334.62,385.2353213664136,1.68,0.72,-0.19,3.04,8.43,0.1791950598753825,0.48590361053583925,3.835294117647059,663.9351545597088,74.21073619631902,6.457048109984187,6.397527564322196,0.5572211175816029,1.68,0.595,407.38,174.97500000000002,93.1819018404908,61.27952453987729,8.028181402411512,5.284505236270944
6740e1e09ca406ab781318cb,task4,1,14.015,completed,1.62,0.8159980882884599,404.17,87.68075512605836,1.32,0.87,-0.41,4.24,36.56,0.3667510701994743,0.3707607448581746,5.129411764705883,704.4467701767021,69.04690366972477,62.837467463956514,5.611401282096227,5.107465050963149,1.32,0.7049999999999998,388.12,131.52500000000003,65.91788990825688,54.28985091743118,5.357487341916204,4.4134507450824465
6740e1e09ca406ab781318cb,task4,2,5.933,completed,0.96,0.8345474180661054,368.86,80.35376986388836,1.16,1.31,-0.77,4.4,32.98,0.25226244212770643,0.25226301592903627,5.129411764705883,704.4467701767021,62.16307339449541,64.26589348983828,5.052721323173762,5.223409353372653,1.16,0.885,379.56,60.42500000000001,64.24908256880734,68.15108944954127,5.222044884897448,5.538713064705176
6740e1e09ca406ab781318cb,task4,3,4.523,completed,1.95,0.7855433548751521,421.8250000000001,99.71037482431493,1.97,0.94,-0.59,2.39,3.27,0.47282451197170644,0.47283549655106705,5.129411764705883,704.4467701767021,72.48881880733947,60.49224344021382,5.890642840999383,4.917082334520706,1.97,0.7949999999999999,422.895,95.97500000000002,72.69741972477063,61.22047018348623,5.907564355052439,4.976201940449291
6740e1e09ca406ab781318cb,task4,4,15.225,completed,1.29,0.7890383865197835,386.515,98.3298373246855,0.55,1.43,-0.24,3.9,7.42,0.22266809807320825,0.22992268694582305,5.129411764705883,704.4467701767021,65.60498853211008,60.76138492523332,5.332093010820171,4.938932344974159,0.55,0.62,346.925,165.1,57.88675458715596,47.74426605504587,4.705539795062451,3.881767406855069
