"","participantId","task","id","data.ans.x","data.ans.y","data.select.x","data.select.y","pixelToMM","dist_to_screen","pixel.select.x","pixel.select.y","phy.select.x","phy.select.y","va.select.x","va.select.y","pixel.ans.x","pixel.ans.y","phy.ans.x","phy.ans.y","va.ans.x","va.ans.y"
"1","67f03733938aa3f0d17ce8a8","task5","8",1.55,0.492127362550442,1.5,0.51,4.6,668.258963114506,397.75,208.55,75.5978260869565,43.7934782608696,6.47477418700271,3.75346113291578,400.425,215.609691792575,76.179347826087,42.258762653788,6.52447298074166,3.62201256911233
"2","67f03733938aa3f0d17ce8a8","task5","5",1.72,0.516156366429224,1.62,0.51,4.6,668.258963114506,404.17,208.55,76.9934782608696,43.7934782608696,6.59404716002343,3.75346113291578,409.52,206.118235260456,78.1565217391304,44.322122769466,6.69343039013452,3.79873732385216
"3","67f03733938aa3f0d17ce8a8","task5","4",0.34,0.521064639028369,0.33,0.52,4.6,668.258963114506,335.155,204.6,61.9902173913043,44.6521739130435,5.311165806916,3.82700422304024,335.69,204.179467583794,62.1065217391304,44.743594003523,5.32111616602971,3.83483372275456
"4","67f03733938aa3f0d17ce8a8","task5","1",1.69,0.41372212550326,1.62,0.43,4.6,668.258963114506,404.17,240.15,76.9934782608696,36.9239130434783,6.59404716002343,3.16501013057133,407.915,246.579760426212,77.8076086956522,35.5261390377799,6.66361647274308,3.04525453026214
"5","67f03733938aa3f0d17ce8a8","task5","9",1.01,0.634546870160662,1.08,0.62,4.6,668.258963114506,375.28,165.1,70.7130434782609,53.2391304347826,6.05720985166241,4.56225171942181,371.535,159.353986286538,69.8989130434783,54.4882638507525,5.98759983903526,4.66917735018835
"6","67f03733938aa3f0d17ce8a8","task5","3",0.34,0.218605710964155,0.29,0.23,4.6,668.258963114506,333.015,319.15,61.525,19.75,5.27136357044614,1.69321977205918,335.69,323.650744169159,62.1065217391304,18.7715773545307,5.32111616602971,1.60934832605183
"7","67f03733938aa3f0d17ce8a8","task5","2",-1.05,0.367655316910319,-1.12,0.38,4.6,668.258963114506,257.58,259.9,45.1260869565217,32.6304347826087,3.86759121472303,2.79714147593367,261.325,264.776149820424,45.9402173913044,31.5704022129513,3.93731292631158,2.70630786675774
"8","67f03733938aa3f0d17ce8a8","task5","6",-0.36,0.704048662013493,-0.39,0.7,4.6,668.258963114506,296.635,133.5,53.6163043478261,60.1086956521739,4.5945385953528,5.15018214314094,298.24,131.90077850467,53.9652173913044,60.4563524989848,4.62440563196465,5.17992933670448
"9","67f03733938aa3f0d17ce8a8","task5","10",-0.93,0.381922834836586,-0.89,0.39,4.6,668.258963114506,269.885,255.95,47.8010869565217,33.4891304347826,4.09666580521768,2.87072006300231,267.745,259.140480239549,47.3358695652174,32.7955477740112,4.05682904740581,2.81128960399543
"10","67f03733938aa3f0d17ce8a8","task5","7",0.43,0.500188489986617,0.33,0.49,4.6,668.258963114506,335.155,216.45,61.9902173913043,42.0760869565217,5.311165806916,3.60636573333844,340.505,212.425546455286,63.1532608695652,42.9509681618943,5.41066576668031,3.68130124969461
"11","5c8f2ac8d7ecab0018d529aa","task5","1",0.18,0.285976256924118,0.2,0.29,3.83529411764706,663.935154559709,328.2,295.45,72.5368098159509,29.8673312883436,6.25351205951856,2.57703409025013,327.13,297.039378514973,72.2578220858896,29.4529227798383,6.22950754045203,2.54128960873705
"12","5c8f2ac8d7ecab0018d529aa","task5","7",0.09,0.968209038164087,0.22,0.97,3.83529411764706,663.935154559709,329.27,26.85,72.8157975460123,99.9010736196319,6.2775160292261,8.60497738969392,322.315,27.5574299251855,71.0023773006135,99.7166210317768,6.12148046232423,8.58914906379123
"13","5c8f2ac8d7ecab0018d529aa","task5","2",0.43,0.203183464336807,0.43,0.21,3.83529411764706,663.935154559709,340.505,327.05,75.7451687116564,21.6280674846626,6.52952401861139,1.86627777098456,340.505,329.742531586961,75.7451687116564,20.9260270402094,6.52952401861139,1.80570916209087
"14","5c8f2ac8d7ecab0018d529aa","task5","3",-0.97,0.29336465526482,-0.95,0.3,3.83529411764706,663.935154559709,266.675,291.5,56.4950153374233,30.8972392638037,4.87242610475667,2.66586580937969,265.605,294.120961170396,56.216027607362,30.2138598175347,4.84839351779209,2.60692325251146
"15","5c8f2ac8d7ecab0018d529aa","task5","5",-2.11,0.486043096069002,-2.09,0.49,3.83529411764706,663.935154559709,205.685,216.45,40.5927147239264,50.465490797546,3.50194914276404,4.35293824866798,204.615,218.012977052744,40.313726993865,50.0579661058795,3.47789559244155,4.31782030226418
"16","5c8f2ac8d7ecab0018d529aa","task5","4",-1.42,0.222857364148553,-1.42,0.22,3.83529411764706,663.935154559709,241.53,323.1,49.9388036809816,22.6579754601227,4.30755147109852,1.95513128692186,241.53,321.971341161322,49.9388036809816,22.9522576726615,4.30755147109852,1.98051954479662
"17","5c8f2ac8d7ecab0018d529aa","task5","9",-0.66,0.493029333874416,-0.63,0.49,3.83529411764706,663.935154559709,283.795,216.45,60.9588190184049,50.465490797546,5.25688774082116,4.35293824866798,282.19,215.253413119606,60.5403374233129,50.7774843093053,5.22084935871504,4.3798233589111
"18","5c8f2ac8d7ecab0018d529aa","task5","8",-2.44,0.0650343138152659,-2.44,0.07,3.83529411764706,663.935154559709,186.96,382.35,35.7104294478528,7.20935582822085,3.08096932743356,0.622141485610879,186.96,384.31144604297,35.7104294478528,6.69793584769188,3.08096932743356,0.578008557343199
