participantId,trialId,trialOrder,responseId,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_43","60","numericResponse","0.42","2918","2918","","","","","point","","","","136"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_43","60","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_16","61","pixelResponse","110.00000000000001","4094","4094","","","","","point","","","","53"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_16","61","numericResponse","0.45","4094","4094","","","","","point","","","","53"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_16","61","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":34,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_40","62","pixelResponse","116.00000000000001","4392","4392","","","","","point","","","","125"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_40","62","numericResponse","0.42","4392","4392","","","","","point","","","","125"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_40","62","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":28,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_14","63","pixelResponse","95.99999999999999","5123","5123","","","","","point","","","","43"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_14","63","numericResponse","0.52","5123","5123","","","","","point","","","","43"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_14","63","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":34,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_37","64","pixelResponse","130","3975","3975","","","","","point","","","","114"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_37","64","numericResponse","0.35","3975","3975","","","","","point","","","","114"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_37","64","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":28,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","attention_check","65","attention_check","stock","7021","7021","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","attention_check","65","windowEvents","{""focus"":2,""input"":2,""keydown"":2,""keyup"":3,""mousemove"":24,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_8","66","pixelResponse","94","4143","4143","","","","","point","","","","29"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_8","66","numericResponse","0.53","4143","4143","","","","","point","","","","29"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_8","66","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_30","67","pixelResponse","98","3132","3132","","","","","point","","","","91"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_30","67","numericResponse","0.51","3132","3132","","","","","point","","","","91"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_30","67","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_45","68","pixelResponse","131.99999999999997","4831","4831","","","","","point","","","","138"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_45","68","numericResponse","0.34","4831","4831","","","","","point","","","","138"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_45","68","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":38,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_19","69","pixelResponse","122","3771","3771","","","","","point","","","","64"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_19","69","numericResponse","0.39","3771","3771","","","","","point","","","","64"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_19","69","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":31,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_5","70","pixelResponse","102","6083","6083","","","","","point","","","","18"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_5","70","numericResponse","0.49","6083","6083","","","","","point","","","","18"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_5","70","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_24","71","pixelResponse","52.00000000000001","5687","5687","","","","","point","","","","77"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_24","71","numericResponse","0.74","5687","5687","","","","","point","","","","77"
"acd0f51a-3b40-449f-93f8-9a136a166178","point_task_24","71","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":49,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","gender","Female","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","gender-other","","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","age","27","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","feedback","Yes","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","feedback-text","asdfosadflkasdhfashdf","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","strategy","asdfsafdlahsdfkjasf","9830","9830","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","post_study","72","windowEvents","{""focus"":6,""input"":17,""keydown"":18,""keyup"":17,""mousemove"":45,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
