participantId,trialId,trialOrder,responseId,condition,status,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"5ac9d112436f5500010007a5","block5_test_5","16","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","block5_test_3","17","","default","rejected","","","-1","","","","","Block5","false","","",""
"5ac9d112436f5500010007a5","block5_test_3","17","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","block5_test_8","18","","default","rejected","","","-1","","","","","Block5","false","","",""
"5ac9d112436f5500010007a5","block5_test_8","18","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","block5_test_6","19","","default","rejected","","","-1","","","","","Block5","false","","",""
"5ac9d112436f5500010007a5","block5_test_6","19","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","task2_intro","20","","default","rejected","","","-1","","","","","","","","",""
"5ac9d112436f5500010007a5","task2_intro","20","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","moritz_train_point_1","21","","default","rejected","","","-1","","","","","pointArc","true","","","8"
"5ac9d112436f5500010007a5","moritz_train_point_1","21","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","moritz_train_point_2","22","","default","rejected","","","-1","","","","","pointArc","true","","","9"
"5ac9d112436f5500010007a5","moritz_train_point_2","22","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","task2_test_intro","23","","default","rejected","","","-1","","","","","","","","",""
"5ac9d112436f5500010007a5","task2_test_intro","23","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_22","24","","default","rejected","","","-1","","","","","point","","","","65"
"5ac9d112436f5500010007a5","point_task_22","24","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_27","25","","default","rejected","","","-1","","","","","point","","","","78"
